"ID","Decade","Application period","Application method","Crop","Crop height (cm)","Incorporation","Manure source","Manure DM (%)","Manure pH","Manure treatment","Air temperature (deg. C)","Wind speed (m/s)","Rainfall rate (mm/h)","Emission factor (% of applied TAN)"
"167-2010",2010,"April","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,8.2
"220-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,10
"233-2010",2010,"April","Trailing hose","None",0,"None","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,10
"268-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,9.8
"328-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,4.3
"368-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,6
"269-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,8.5
"329-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,3.4
"369-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,4.8
"270-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,7
"330-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,2.9
"370-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,4
"271-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,6.2
"331-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,2.7
"371-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,3.6
"050-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,8.3
"149-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,3.1
"215-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,4.7
"051-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,6.5
"150-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,1.9
"216-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,3
"052-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,4.5
"151-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,1.2
"217-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,1.9
"053-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,7.2,"None",8.5,3.91,0.09,3.5
"152-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6,"Barn acidified",8.5,3.91,0.09,0.93
"218-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Pig",3.9,6.4,"Field acidified",8.5,3.91,0.09,1.4
"092-2010",2010,"April","Trailing hose","Winter cereal",25,"None","Digestate",5.1,7.9,"None",8.5,3.91,0.09,29
"288-2010",2010,"April","Trailing hose","None",0,"Shallow 24 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,23
"289-2010",2010,"April","Trailing hose","None",0,"Shallow 12 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,22
"290-2010",2010,"April","Trailing hose","None",0,"Shallow 6 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,19
"291-2010",2010,"April","Trailing hose","None",0,"Shallow 4 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,17
"087-2010",2010,"April","Trailing hose","None",0,"Deep 24 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,21
"088-2010",2010,"April","Trailing hose","None",0,"Deep 12 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,20
"089-2010",2010,"April","Trailing hose","None",0,"Deep 6 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,15
"090-2010",2010,"April","Trailing hose","None",0,"Deep 4 hr","Digestate",5.1,7.9,"None",8.5,3.91,0.09,13
"004-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Cattle",6.5,7,"None",8.5,3.91,0.09,14
"041-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Pig",3.9,7.2,"None",8.5,3.91,0.09,9.8
"078-2010",2010,"April","Open slot injection","Grass",10,"Not relevant","Digestate",5.1,7.9,"None",8.5,3.91,0.09,17
"002-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Cattle",6.5,7,"None",8.5,3.91,0.09,1.6
"039-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Pig",3.9,7.2,"None",8.5,3.91,0.09,1.8
"076-2010",2010,"April","Closed slot injection","None",0,"Not relevant","Digestate",5.1,7.9,"None",8.5,3.91,0.09,2.6
"019-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.5,7,"None",12.4,3.56,0.09,30
"122-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.5,6,"Barn acidified",12.4,3.56,0.09,17
"188-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Cattle",6.5,6.4,"Field acidified",12.4,3.56,0.09,22
"056-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,7.2,"None",12.4,3.56,0.09,15
"155-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,6,"Barn acidified",12.4,3.56,0.09,9.3
"221-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Pig",3.9,6.4,"Field acidified",12.4,3.56,0.09,11
"093-2010",2010,"May","Trailing hose","Spring cereal",15,"None","Digestate",5.1,7.9,"None",12.4,3.56,0.09,30
"033-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.5,7,"None",14.3,3.4,0.09,48
"140-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.5,6,"Barn acidified",14.3,3.4,0.09,38
"206-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Cattle",6.5,6.4,"Field acidified",14.3,3.4,0.09,42
"070-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,7.2,"None",14.3,3.4,0.09,33
"173-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,6,"Barn acidified",14.3,3.4,0.09,21
"239-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Pig",3.9,6.4,"Field acidified",14.3,3.4,0.09,25
"107-2010",2010,"Spring-summer","Broadcast","Cereal and grass",15,"None","Digestate",5.1,7.9,"None",14.3,3.4,0.09,50
"020-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle",6.5,7,"None",16.9,3.18,0.09,33
"123-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,22
"135-2010",2010,"Summer","Trailing hose","None",0,"None","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,22
"189-2010",2010,"Summer","Trailing hose","Grass",10,"None","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,27
"201-2010",2010,"Summer","Trailing hose","None",0,"None","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,27
"252-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,29
"312-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,14
"352-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,20
"253-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,25
"313-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,11
"353-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,16
"254-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,20
"314-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,8.9
"354-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,13
"255-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,17
"315-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,8.1
"355-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,11
"021-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,27
"124-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,12
"190-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,18
"022-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,22
"125-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,7.6
"191-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,12
"023-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,15
"126-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,4.5
"192-2010",2010,"Summer","Trailing hose","None",0,"Deep 6 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,7.5
"024-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,7,"None",16.9,3.18,0.09,11
"127-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6,"Barn acidified",16.9,3.18,0.09,3.3
"193-2010",2010,"Summer","Trailing hose","None",0,"Deep 4 hr","Cattle",6.5,6.4,"Field acidified",16.9,3.18,0.09,5.6
"057-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,7.2,"None",16.9,3.18,0.09,16
"156-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,10
"168-2010",2010,"Summer","Trailing hose","None",0,"None","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,10
"222-2010",2010,"Summer","Trailing hose","Grass",10,"None","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,12
"234-2010",2010,"Summer","Trailing hose","None",0,"None","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,12
"272-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,11
"332-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,7
"372-2010",2010,"Summer","Trailing hose","None",0,"Shallow 24 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,8.7
"273-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,10
"333-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,5.7
"373-2010",2010,"Summer","Trailing hose","None",0,"Shallow 12 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,7.5
"274-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,9.6
"334-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.5
"374-2010",2010,"Summer","Trailing hose","None",0,"Shallow 6 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,6
"275-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,8.8
"335-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,4.1
"375-2010",2010,"Summer","Trailing hose","None",0,"Shallow 4 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,5.3
"058-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,9.6
"157-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6,"Barn acidified",16.9,3.18,0.09,6
"223-2010",2010,"Summer","Trailing hose","None",0,"Deep 24 hr","Pig",3.9,6.4,"Field acidified",16.9,3.18,0.09,7.7
"059-2010",2010,"Summer","Trailing hose","None",0,"Deep 12 hr","Pig",3.9,7.2,"None",16.9,3.18,0.09,8.9
